FULL POTENTIAL APPLICATION ALL CASES LOADS FILE

Case    AOA           FF_MS            A_MS         # Nodes              Cl         Cl_jump          Cl_ref              Cd

   0   0.00            2.00        1.00e-03        1.18e+04        0.000095        0.000101        0.000000       -0.000015
   1   0.00            2.00        1.00e-04        1.53e+04       -0.000127       -0.000137        0.000000       -0.000009
   2   0.00            2.00        1.00e-05        1.87e+04        0.000130        0.000130        0.000000       -0.000013
   3   0.00            2.00        1.00e-06        2.20e+04        0.000106        0.000095        0.000000       -0.000010
   4   0.00           20.00        1.00e-03        1.41e+04        0.000026        0.000031        0.000000       -0.000029
   5   0.00           20.00        1.00e-04        1.77e+04        0.000090        0.000090        0.000000       -0.000007
   6   0.00           20.00        1.00e-05        2.12e+04       -0.000089       -0.000095        0.000000       -0.000012
   7   0.00           20.00        1.00e-06        2.41e+04       -0.000002       -0.000008        0.000000       -0.000006
   8   0.00          200.00        1.00e-03        1.65e+04        0.000021        0.000016        0.000000       -0.000019
   9   0.00          200.00        1.00e-04        2.01e+04        0.000092        0.000086        0.000000       -0.000014
  10   0.00          200.00        1.00e-05        2.33e+04        0.000038        0.000037        0.000000       -0.000008
  11   0.00          200.00        1.00e-06        2.66e+04       -0.000022       -0.000033        0.000000       -0.000008
  12   0.00         2000.00        1.00e-03        1.92e+04       -0.000224       -0.000226        0.000000       -0.000024
  13   0.00         2000.00        1.00e-04        2.24e+04       -0.000041       -0.000044        0.000000       -0.000017
  14   0.00         2000.00        1.00e-05        2.57e+04        0.000193        0.000185        0.000000        0.000000
  15   0.00         2000.00        1.00e-06        2.88e+04        0.000018        0.000017        0.000000       -0.000004
