FULL POTENTIAL APPLICATION ALL CASES LOADS FILE

Case    AOA           FF_MS            A_MS         # Nodes              Cl         Cl_jump          Cl_ref              Cd

   0   2.00            2.00        1.00e-03        1.18e+04        0.329633        0.329695        0.335000        0.000006
   1   2.00            2.00        1.00e-04        1.52e+04        0.331289        0.331343        0.335000        0.000009
   2   2.00            2.00        1.00e-05        1.86e+04        0.332271        0.332322        0.335000        0.000006
   3   2.00            2.00        1.00e-06        2.19e+04        0.332519        0.332576        0.335000        0.000009
   4   2.00           20.00        1.00e-03        1.42e+04        0.328473        0.328553        0.335000       -0.000013
   5   2.00           20.00        1.00e-04        1.74e+04        0.331783        0.331853        0.335000       -0.000007
   6   2.00           20.00        1.00e-05        2.08e+04        0.332755        0.332812        0.335000       -0.000008
   7   2.00           20.00        1.00e-06        2.41e+04        0.333007        0.333064        0.335000       -0.000009
   8   2.00          200.00        1.00e-03        1.64e+04        0.328715        0.328783        0.335000       -0.000020
   9   2.00          200.00        1.00e-04        1.99e+04        0.332083        0.332139        0.335000       -0.000004
  10   2.00          200.00        1.00e-05        2.31e+04        0.332808        0.332868        0.335000       -0.000011
  11   2.00          200.00        1.00e-06        2.64e+04        0.333027        0.333090        0.335000       -0.000014
  12   2.00         2000.00        1.00e-03        1.87e+04        0.326976        0.327042        0.335000       -0.000023
  13   2.00         2000.00        1.00e-04        2.26e+04        0.332296        0.332354        0.335000       -0.000015
  14   2.00         2000.00        1.00e-05        2.56e+04        0.332704        0.332762        0.335000       -0.000002
  15   2.00         2000.00        1.00e-06        2.87e+04        0.333053        0.333108        0.335000       -0.000006
